"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,1.22,1000,498,499,500,506,507,497
0.7,1.22,1000,507,508,499,502,497,505
0.7,1.22,1000,500,501,497,502,503,486
0.7,1.22,1000,500,502,501,497,499,503
0.7,1.22,1000,500,490,484,495,493,494
0.7,1.22,1000,506,507,509,505,504,510
0.7,1.22,1000,501,502,512,508,500,510
0.7,1.22,1000,509,504,506,505,507,522
0.7,1.22,1000,508,504,502,509,510,438
0.7,1.22,1000,505,502,499,506,504,513
0.7,1.22,1000,501,489,503,498,499,502
0.7,1.22,1000,499,495,497,492,500,496
0.7,1.22,1000,500,501,498,502,487,421
0.7,1.22,1000,499,497,498,501,500,496
0.7,1.22,1000,8,6,9,501,7,500
0.7,1.22,1000,500,495,494,505,490,508
0.7,1.22,1000,501,497,485,505,511,510
0.7,1.22,1000,479,499,481,485,478,480
0.7,1.22,1000,497,500,499,501,503,514
0.7,1.22,1000,493,494,498,495,496,492
0.7,1.22,1000,492,494,493,497,489,514
0.7,1.22,1000,505,507,502,500,503,492
0.7,1.22,1000,494,501,504,503,491,502
0.7,1.22,1000,506,500,502,494,503,495
0.7,1.22,1000,499,500,512,516,511,509
0.7,1.22,1000,503,504,509,511,502,510
0.7,1.22,1000,503,501,495,507,492,924
0.7,1.22,1000,480,499,501,498,492,481
0.7,1.22,1000,494,498,504,493,503,501
0.7,1.22,1000,497,504,505,496,502,499
0.7,1.22,1000,494,497,491,498,467,486
0.7,1.22,1000,499,497,496,503,502,513
0.7,1.22,1000,503,500,499,504,501,497
0.7,1.22,1000,500,499,506,501,497,514
0.7,1.22,1000,503,494,502,497,513,496
0.7,1.22,1000,498,493,501,499,494,492
0.7,1.22,1000,500,496,501,499,497,492
0.7,1.22,1000,444,440,452,500,485,484
0.7,1.22,1000,500,499,498,501,497,494
0.7,1.22,1000,497,500,516,502,513,501
0.7,1.22,1000,500,497,504,482,499,498
0.7,1.22,1000,499,500,497,480,484,488
0.7,1.22,1000,500,498,496,489,495,499
0.7,1.22,1000,498,528,763,499,511,836
0.7,1.22,1000,493,500,490,499,496,498
0.7,1.22,1000,500,498,499,490,503,508
0.7,1.22,1000,493,490,498,487,947,943
0.7,1.22,1000,518,517,503,502,504,521
0.7,1.22,1000,502,503,509,495,516,497
0.7,1.22,1000,502,504,500,499,505,494
0.7,1.22,1000,496,498,514,494,501,515
0.7,1.22,1000,499,497,500,529,508,505
0.7,1.22,1000,501,506,488,491,490,505
0.7,1.22,1000,494,493,502,500,503,499
0.7,1.22,1000,500,493,502,501,505,495
0.7,1.22,1000,504,499,507,489,508,472
0.7,1.22,1000,481,482,484,499,500,483
0.7,1.22,1000,452,495,496,499,498,451
0.7,1.22,1000,503,497,501,500,505,531
0.7,1.22,1000,983,488,499,501,506,984
0.7,1.22,1000,502,504,496,501,505,3
0.7,1.22,1000,515,513,493,523,525,500
0.7,1.22,1000,499,500,504,502,501,478
0.7,1.22,1000,498,527,516,528,544,539
0.7,1.22,1000,499,496,500,495,497,486
0.7,1.22,1000,501,503,498,505,509,497
0.7,1.22,1000,502,509,512,511,501,503
0.7,1.22,1000,884,883,501,502,500,497
0.7,1.22,1000,500,493,496,959,497,494
0.7,1.22,1000,501,502,508,506,504,505
0.7,1.22,1000,508,499,509,512,516,507
0.7,1.22,1000,498,495,504,499,491,122
0.7,1.22,1000,502,499,503,504,498,513
0.7,1.22,1000,475,481,483,468,482,488
0.7,1.22,1000,511,499,497,500,498,508
0.7,1.22,1000,482,485,490,481,483,480
0.7,1.22,1000,487,492,489,493,481,477
0.7,1.22,1000,501,500,503,505,508,494
0.7,1.22,1000,499,498,500,501,57,58
